step,next_token_id,next_token_text,next_logprob,entropy,text_len
0,3490,"ã€‚

",-1.2578125,3.0,42
1,33413,Okay,-0.95703125,2.75,46
2,11,",",-0.000102996826171875,0.0013885498046875,47
3,779, so,-0.12255859375,0.4453125,50
4,358, I,-0.003936767578125,0.031494140625,52
5,1205, need,-0.1982421875,0.60546875,57
6,311, to,-3.933906555175781e-06,6.389617919921875e-05,60
7,10552, explain,-0.3046875,0.8671875,68
8,220, ,-0.75,0.921875,69
9,717,12,-6.9141387939453125e-06,0.00010204315185546875,71
10,56016, multiplied,-0.1611328125,0.427734375,82
11,555, by,-4.76837158203125e-07,8.106231689453125e-06,85
12,220, ,-2.8848648071289062e-05,0.0003414154052734375,86
13,1032,13,-2.384185791015625e-06,3.719329833984375e-05,88
14,323, and,-0.62890625,0.859375,92
15,1243, then,-0.78515625,1.21875,97
16,3041, give,-1.3046875,1.9375,102
17,279, the,-0.0062255859375,0.03955078125,106
18,4320, answer,-0.00994873046875,0.056640625,113
19,304, in,-0.447265625,1.0,116
20,264, a,-0.2890625,0.73828125,118
21,3830, box,-0.322265625,1.0703125,122
22,13,.,-0.15234375,0.578125,123
23,89290, Hmm,-0.609375,1.0625,127
24,11,",",-0.028076171875,0.1337890625,128
25,1095, let,-0.291015625,1.0703125,132
26,757, me,-0.38671875,0.62890625,135
27,1781, think,-0.0888671875,0.427734375,141
28,922, about,-0.2314453125,0.6953125,147
29,1268, how,-0.09521484375,0.41015625,151
30,311, to,-0.1640625,0.447265625,154
31,656, do,-0.94140625,1.4453125,157
32,420, this,-0.031005859375,0.16015625,162
33,3094, step,-0.26171875,0.75390625,167
34,555, by,-0.01422119140625,0.07373046875,170
35,3094, step,-1.8596649169921875e-05,0.0002899169921875,175
36,13,.,-0.181640625,0.462890625,176
37,4815," 

",-1.0703125,1.5078125,179
38,5451,First,-0.080078125,0.337890625,184
39,11,",",-0.031005859375,0.1435546875,185
40,358, I,-0.5625,1.0390625,187
41,1440, know,-0.62109375,0.8828125,192
42,430, that,-0.027099609375,0.12890625,197
43,47544, multiplication,-0.375,0.73828125,212
44,374, is,-0.051513671875,0.2421875,215
45,11763, repeated,-0.984375,1.59375,224
46,5369, addition,-0.00019550323486328125,0.0020751953125,233
47,13,.,-0.048828125,0.1923828125,234
48,2100, So,-0.00081634521484375,0.007232666015625,237
49,11,",",-0.10205078125,0.376953125,238
50,220, ,-0.06103515625,0.27734375,239
51,717,12,-5.125999450683594e-06,7.200241088867188e-05,241
52,3115, times,-0.03369140625,0.18359375,247
53,220, ,-1.3232231140136719e-05,0.00018024444580078125,248
54,1032,13,-4.315376281738281e-05,0.00054168701171875,250
55,3445, means,-0.26171875,0.76171875,256
56,358, I,-0.35546875,0.65625,258
57,617, have,-0.7890625,1.015625,263
58,311, to,-0.0235595703125,0.1123046875,266
59,923, add,-0.0002765655517578125,0.0030517578125,270
60,220, ,-0.00213623046875,0.0169677734375,271
61,717,12,-0.00860595703125,0.04931640625,273
62,311, to,-0.255859375,0.55859375,276
63,5196, itself,-0.00011539459228515625,0.00124359130859375,283
64,220, ,-0.006805419921875,0.041259765625,284
65,1032,13,-4.76837158203125e-06,6.866455078125e-05,286
66,3115, times,-0.0003147125244140625,0.002960205078125,292
67,13,.,-0.0244140625,0.1259765625,293
68,2030, But,-0.875,1.5,297
69,3815, doing,-1.0546875,1.5625,303
70,430, that,-0.006744384765625,0.048583984375,308
71,20684, manually,-0.1884765625,0.85546875,317
72,1053, would,-0.1279296875,0.5234375,323
73,1935, take,-0.06201171875,0.228515625,328
74,264, a,-0.1533203125,0.51171875,330
75,1418, while,-0.15625,0.53515625,336
76,13,.,-0.259765625,0.5859375,337
77,10926, Maybe,-0.16015625,0.66015625,343
78,1070, there,-0.11572265625,0.361328125,349
79,596,'s,-0.00537109375,0.033935546875,351
80,264, a,-0.0107421875,0.0654296875,353
81,39392, quicker,-0.296875,0.84375,361
82,1648, way,-0.0206298828125,0.10009765625,365
83,13,.,-1.1015625,1.6640625,366
84,8840, Oh,-0.37890625,1.125,369
85,11,",",-0.1865234375,0.59765625,370
86,1314, right,-0.08544921875,0.40234375,376
87,11,",",-0.142578125,0.392578125,377
88,279, the,-0.6328125,1.25,381
89,2916, distrib,-0.259765625,0.59375,389
90,6844,utive,0.0,5.098991096019745e-08,394
91,3424, property,-6.4849853515625e-05,0.000720977783203125,403
92,0,!,-0.169921875,0.63671875,404
93,358, I,-0.455078125,1.1640625,406
94,649, can,-0.012939453125,0.0751953125,410
95,1464, break,-0.08837890625,0.470703125,416
96,433, it,-0.4921875,0.76171875,419
97,1523, down,-0.002197265625,0.0157470703125,424
98,1139, into,-0.185546875,0.80859375,429
99,8831, easier,-1.1796875,1.8203125,436
100,5219, numbers,-0.10205078125,0.330078125,444
101,13,.,-0.421875,0.9453125,445
102,4815," 

",-0.875,1.4921875,448
103,10267,Let,-0.9609375,1.6875,451
104,757, me,-0.1474609375,0.419921875,454
105,1456, try,-0.57421875,1.4296875,458
106,430, that,-0.90625,1.8828125,463
107,13,.,-0.255859375,0.55859375,464
108,220, ,-0.3515625,0.84375,465
109,717,12,-0.06591796875,0.275390625,467
110,3115, times,-0.189453125,0.6640625,473
111,220, ,-2.002716064453125e-05,0.0002689361572265625,474
112,1032,13,-0.08935546875,0.29296875,476
113,374, is,-0.26953125,0.8515625,479
114,279, the,-0.033935546875,0.1474609375,483
115,1890, same,-3.5762786865234375e-07,8.285045623779297e-06,488
116,439, as,0.0,1.080334186553955e-06,491
117,220, ,-0.38671875,0.6328125,492
118,605,10,-0.054931640625,0.208984375,494
119,3115, times,-0.007171630859375,0.046142578125,500
120,220, ,-1.9550323486328125e-05,0.00023746490478515625,501
121,1032,13,-0.00022602081298828125,0.002288818359375,503
122,5636, plus,-4.458427429199219e-05,0.000591278076171875,508
123,220, ,-1.1920928955078125e-07,2.905726432800293e-06,509
124,17,2,-3.5762786865234375e-07,6.020069122314453e-06,510
125,3115, times,-1.1920928955078125e-07,3.5017728805541992e-06,516
126,220, ,-1.5020370483398438e-05,0.00018596649169921875,517
127,1032,13,-7.152557373046875e-07,1.3589859008789062e-05,519
